source,target,weight,type,directed
MrBeast,Karl,1,direct_mention,True
MrBeast,Mark Rober,1,direct_mention,True
MrBeast,Corpse Husband,1,direct_mention,True
MrBeast,Vikkstar123,1,direct_mention,True
MrBeast,Miniminter,1,direct_mention,True
MrBeast,KSI,1,direct_mention,True
MrBeast,TBJZL,1,direct_mention,True
MrBeast,Zerkaa,1,direct_mention,True
MrBeast,Behzinga,1,direct_mention,True
MrBeast,W2S,1,direct_mention,True
MrBeast,Sykkuno,1,direct_mention,True
MrBeast,PewDiePie,1,direct_mention,True
MrBeast,Valkyrae,1,direct_mention,True
MrBeast,Dream,1,direct_mention,True
MrBeast,GeorgeNotFound,1,direct_mention,True
MrBeast,Sapnap,1,direct_mention,True
MrBeast,TommyInnit,1,direct_mention,True
MrBeast,Wilbur Soot,1,direct_mention,True
MrBeast,Quackity,1,direct_mention,True
MrBeast,Technoblade,1,direct_mention,True
MrBeast,jake paul,1,direct_mention,True
MrBeast,jschlatt,1,direct_mention,True
MrBeast,LazarBeam,1,direct_mention,True
Mark Rober,Veritasium,1,direct_mention,True
Mark Rober,MrBeast,1,direct_mention,True
Dream,MrBeast,1,direct_mention,True
Dream,GeorgeNotFound,1,same_group,False
Dream,Sapnap,1,same_group,False
Dream,TommyInnit,1,same_group,False
Dream,Wilbur Soot,1,same_group,False
Dream,Quackity,1,same_group,False
Dream,Technoblade,1,same_group,False
GeorgeNotFound,MrBeast,1,direct_mention,True
GeorgeNotFound,Dream,1,same_group,False
GeorgeNotFound,Sapnap,1,same_group,False
GeorgeNotFound,TommyInnit,1,same_group,False
GeorgeNotFound,Wilbur Soot,1,same_group,False
GeorgeNotFound,Quackity,1,same_group,False
GeorgeNotFound,Technoblade,1,same_group,False
Sapnap,MrBeast,1,direct_mention,True
Sapnap,Dream,1,same_group,False
Sapnap,GeorgeNotFound,1,same_group,False
Sapnap,TommyInnit,1,same_group,False
Sapnap,Wilbur Soot,1,same_group,False
Sapnap,Quackity,1,same_group,False
Sapnap,Technoblade,1,same_group,False
TommyInnit,MrBeast,1,direct_mention,True
TommyInnit,Dream,1,same_group,False
TommyInnit,GeorgeNotFound,1,same_group,False
TommyInnit,Sapnap,1,same_group,False
TommyInnit,Wilbur Soot,1,same_group,False
TommyInnit,Quackity,1,same_group,False
TommyInnit,Technoblade,1,same_group,False
Wilbur Soot,Dream,1,same_group,False
Wilbur Soot,GeorgeNotFound,1,same_group,False
Wilbur Soot,Sapnap,1,same_group,False
Wilbur Soot,TommyInnit,1,same_group,False
Wilbur Soot,Quackity,1,same_group,False
Wilbur Soot,Technoblade,1,same_group,False
