Component,Word,Score
SVD_24,kannada,0.17540533359029123
SVD_24,eregowda,0.17380741558877563
SVD_24,sathish eregowda,0.17206822523883825
SVD_24,car,0.1643464795020714
SVD_24,sathish,0.15201654978575171
SVD_24,ufc,0.14562858454872465
SVD_24,ksi,0.12663697569722446
SVD_24,thanks,0.11548626543200981
SVD_24,usa,0.11453934288287894
SVD_24,tickets,0.09390973268749564
SVD_21,taylor,0.23687612517035148
SVD_21,official music,0.1569573898220536
SVD_21,follow taylor,0.1569573898220536
SVD_21,tumblr,0.1569573898220536
SVD_21,instagram tiktok,0.15553794797954287
SVD_21,taylor swift,0.15392643748729126
SVD_21,swift,0.15392643748729126
SVD_21,music video,0.14832262196364374
SVD_21,behind scenes,0.14747955964493115
SVD_21,scenes,0.14255634538061032
SVD_36,tour,0.2280367527504992
SVD_36,tickets,0.21118298274825217
SVD_36,world,0.16367941720811738
SVD_36,stories,0.10665684153185254
SVD_36,aakash,0.10399281732545904
SVD_36,live,0.10395463567767897
SVD_36,aakash gupta,0.10079583601121302
SVD_36,gupta,0.10079583601121285
SVD_36,quints,0.10006149113451299
SVD_36,motivational,0.09842116905796915
SVD_17,𝐇𝐃𝐅𝐂,0.220727537679972
SVD_17,𝐒𝐁𝐈,0.220727537679972
SVD_17,𝐂𝐫𝐞𝐝𝐢𝐭,0.17658203014397758
SVD_17,𝐈𝐃𝐅𝐂,0.17658203014397758
SVD_17,insta,0.1338205028200265
SVD_17,𝐂𝐫𝐞𝐝𝐢𝐭 𝐂𝐚𝐫𝐝,0.13243652260798325
SVD_17,𝐂𝐚𝐫𝐝,0.13243652260798325
SVD_17,𝐁𝐞𝐬𝐭,0.13243652260798325
SVD_17,ksi,0.12390497596686674
SVD_17,set,0.11602209939670194
SVD_26,insta,0.20425811127418292
SVD_26,ufc,0.1663378334339081
SVD_26,mic set,0.13537096276741659
SVD_26,mic,0.13280905185165426
SVD_26,ksi,0.09947460295907232
SVD_26,game,0.09741472719095759
SVD_26,set,0.09400511404284559
SVD_26,music used,0.09101725979143332
SVD_26,edited,0.08530627869900921
SVD_26,used,0.08311589292193854
SVD_10,sykkuno,0.3103371755193773
SVD_10,code sykkuno,0.18724168176564635
SVD_10,code,0.13944936643763853
SVD_10,new,0.12164018127668674
SVD_10,offroad,0.1206000586354587
SVD_10,buy,0.09845637230829625
SVD_10,badge,0.09838612809249865
SVD_10,mavix chairs,0.09362084088282317
SVD_10,members badge,0.09362084088282317
SVD_10,mavix,0.09362084088282317
